refcode,metal,oxidation_state,d_count,donor_set,denticity_pattern,S_SP,S_Td,log_S_SP,log_S_Td,L0_hash,L1_hash,L3_hash
ABABUE,Ir,,,"C,N",2-1-1,12.5000,13.0000,1.0969,1.1139,351697199457,995746791920,185269699083
ABAFAN,Cu,+2,d9,,,1.7000,1.6800,0.2304,0.2253,36119276910,119300011776,27589691184
ABAFER,Cu,+2,d9,,,3.6400,0.0500,0.5611,-1.3010,591524772546,976582523276,235985077264
ABAFOZ,Pd,+2,d8,"N,O",2-2,8.4100,2.7600,0.9248,0.4409,993727892815,22095578236,840700147899
ABAJOF,Pt,+2,d8,"C,I,N",1-1-1-1,9.2000,3.4800,0.9638,0.5416,306397015030,150348048295,210394762743
ABAJUL,Pt,+2,d8,"C,I,N",1-1-1-1,3.4600,0.7400,0.5391,-0.1308,942470771344,453704144483,965520734867
ABAKAS,Pt,+2,d8,"C,I,N",1-1-1-1,3.4900,0.7900,0.5428,-0.1024,363546872778,274109030778,170027313791
ABAKEU,W,,,,,3.6300,0.7600,0.5599,-0.1192,342426247097,306757205405,460785333428
ABAKEW,Pt,+2,d8,"C,I,N",1-1-1-1,3.4700,0.7600,0.5403,-0.1192,459363222671,361134246461,79111750589
ABAKIA,Pt,+2,d8,"C,I,N",1-1-1-1,9.0500,3.4600,0.9566,0.5391,326768562448,197853611562,466206758235
ABAKUM,Pd,+2,d8,"C,I,N",1-1-1-1,3.5100,0.8100,0.5453,-0.0915,841613992339,589125809390,196946932987
ABAMIA,Pt,+2,d8,"Cl,P",1-1-1-1,2.9100,0.0400,0.4639,-1.3979,249087375336,125276024426,626718235326
ABANOH,Au,,,"I,P",1-1-1-1,2.9500,0.0800,0.4698,-1.0969,689996324489,774285719277,63694245165
ABAQIE,Au,,,"Br,P",1-1-1-1,2.9100,0.0400,0.4639,-1.3979,281538533554,460696143709,774642839815
ABAQUQ,Au,,,"I,P",2-1-1,9.0400,3.0300,0.9562,0.4814,800619603238,865457935889,208567819038
ABASEC,Ni,+2,d8,N,4,11.7600,14.1800,1.0704,1.1517,51869833705,579786064425,490779870899
ABATIK,Pd,+4,d6,"N,P",1-1,13.4800,16.1200,1.1297,1.2074,744352070137,951577478752,452413068177
ABATOQ,Pd,+4,d6,"N,P",1-1,12.2600,13.8500,1.0885,1.1414,541172557039,750282669923,603618692274
ABAXEH,Ni,+2,d8,,,4.0600,1.6900,0.6085,0.2279,547292149879,866614620068,229367377300
ABAXEH01,Ni,+2,d8,,,9.1700,4.0100,0.9624,0.6031,930527119615,277495918817,229367377300
ABAXEI,Cu,+2,d9,"N,O",2-2,2.9100,0.0300,0.4639,-1.5229,766567145825,484892447140,286317921849
ABAXIM,Cu,+2,d9,"N,O",2-2,2.9100,0.0400,0.4639,-1.3979,372390970788,209936650491,483681453086
ABAXOS,Os,,,,,7.5200,2.6700,0.8762,0.4265,933758545747,96003629763,430086634266
ABAYUB,Cu,+2,d9,,,3.1200,0.2500,0.4942,-0.6021,112835114999,627150616517,197248917997
ABAZIO,Pd,+2,d8,"C,O",1-1,8.9100,3.0400,0.9499,0.4829,937398159175,94064114791,652734486860
ABEBOA,Co,+2,d7,,,3.5900,0.6000,0.5551,-0.2218,820187292714,861172363563,689804698925
ABEBUG,Co,+2,d7,,,3.7900,1.0500,0.5786,0.0212,689862211933,76286474744,225110124688
ABECAN,Co,+2,d7,,,3.1700,0.4500,0.5011,-0.3468,469381235984,41978233976,766526334576
ABECER,Co,+2,d7,,,3.2900,0.7200,0.5172,-0.1427,939015438682,77699826355,742554857266
ABECIV,Co,+2,d7,,,3.5400,1.1400,0.5490,0.0569,208592863263,6470286543,282231824708
ABECOB,Co,+2,d7,,,3.8800,0.5000,0.5888,-0.3010,356575742339,451881254221,789533786262
ABECUH,Co,+2,d7,,,3.0100,0.0100,0.4786,-2.0000,245780682668,663928005776,885016358176
ABEJOG,Rh,+3,d6,"C,P",1-1,11.9200,13.9800,1.0763,1.1455,420059670861,447076076953,668977975902
ABEPAA,Ni,+2,d8,"C,Cl",1-1,8.5900,2.8400,0.9340,0.4533,379200177113,535902388701,989874720085
ABEPEE,Ni,+2,d8,"C,Cl,P",1-1-1-1,3.0300,0.1900,0.4814,-0.7212,287605866147,791949705550,989874720085
ABETAF,Au,,,"Cl,S",2-1-1,10.1600,10.8900,1.0069,1.0370,848936802287,562566074436,611381110222
ABETEH,Cu,+2,d9,,,4.8800,0.5500,0.6884,-0.2596,429082545783,556019316803,360069277588
ABETIL,Cu,+2,d9,,,4.0600,0.3800,0.6085,-0.4202,729003121611,73751403657,985383126086
ABETUZ,Pd,+2,d8,"C,S",1-1,3.5900,0.8800,0.5551,-0.0555,445995661065,843258381633,177105878931
ABEVAH,Pd,+2,d8,"C,S",1-1,3.5700,0.8500,0.5527,-0.0706,504918309197,652535911397,47780618911
ABEVEL,Pd,+2,d8,"C,S",1-1,3.5800,0.9000,0.5539,-0.0458,667493429001,965467974083,320346994142
ABEYAK,Cu,+2,d9,,,5.5600,1.0400,0.7451,0.0170,729332303333,14376352940,780320495607
ABEYIS,Cu,+2,d9,Cl,1-1-1-1,2.8800,0.0000,0.4594,-3.0000,472357683877,78186792968,780320495607
ABEYIS01,Cu,+2,d9,Cl,1-1-1-1,2.9000,0.0200,0.4624,-1.6990,223274774690,78186792968,780320495607
ABICUK,Rh,+1,d8,"Br,C,N",2-1-1,8.1900,3.5600,0.9133,0.5514,850420740347,46211983618,364319020027
ABIDEU,Zn,+2,d10,,,2.1000,0.1600,0.3222,-0.7959,565640397319,397531187107,875712788852
ABIDIB,Pd,+2,d8,"N,O",1-1-1-1,2.9400,0.0600,0.4683,-1.2218,567529855429,114285427461,576061976123
ABIDIY,Co,+2,d7,,,3.7900,0.9400,0.5786,-0.0269,214226291560,802274745435,527968008554
ABIDOE,Cd,,,,,5.0100,0.5600,0.6998,-0.2518,322038092432,795995826896,545323524741
ABIFAV,Pd,+2,d8,"N,O",1-1-1-1,2.9000,0.0200,0.4624,-1.6990,964577596075,876775362247,260624235062
ABIFAW,Zn,+2,d10,,,1.4500,0.5100,0.1614,-0.2924,403359055658,808135023579,896541601660
ABIFEZ,Pd,+2,d8,"N,O",1-1-1-1,2.9200,0.0400,0.4654,-1.3979,870388984010,109090684202,73503940086
ABIGAX,Ni,+2,d8,"N,S",4,16.1500,20.0300,1.2082,1.3017,486562159248,588543526086,232706622137
ABIGEB,Ni,+2,d8,"N,S",4,11.8500,11.4000,1.0737,1.0569,187397864545,182359897729,12061473314
ABIGIF,Cu,+2,d9,,,2.8000,1.0700,0.4472,0.0294,263567439337,575968415418,360637729454
ABIMUV,Mn,,,,,1.4600,0.2400,0.1644,-0.6198,740951833447,853685848303,532555858120
ABIPIK,Ni,+2,d8,N,4,8.5100,2.8800,0.9299,0.4594,111364576298,372422600121,800626049960
ABIQUY,Zn,+2,d10,,,4.5900,0.8200,0.6618,-0.0862,327614868475,177110705521,95836730243
ABIWUD,Pt,+2,d8,"Cl,N",1-1-1-1,8.8000,3.0200,0.9445,0.4800,511948106174,387362945770,335975144714
ABIWUE,Pd,+2,d8,"Cl,N",2-1-1,9.5500,3.1800,0.9800,0.5024,648956021262,186372546744,966717755120
ABIYER,Cu,+2,d9,,,2.4500,1.8200,0.3892,0.2601,868344655601,405611890485,818019302921
ABIZOC,Zn,+2,d10,,,7.1100,8.6900,0.8519,0.9390,33868129442,432867502192,995773781174
ABOBAU,Cu,+2,d9,"N,O",4,8.8000,2.9700,0.9445,0.4728,455757326876,867960480815,170931146482
ABOBIE,Pt,+2,d8,"Cl,N,S",3-1,10.0800,7.7300,1.0035,0.8882,276710068007,360170153448,517802366108
ABODUS,Cu,+2,d9,,,3.3200,0.1000,0.5211,-1.0000,520481799140,610870911613,757764158668
ABODUU,Zn,+2,d10,C,1-1,15.6300,14.0600,1.1940,1.1480,499111342033,206886854732,381998518661
ABOFAA,Cu,+2,d9,,,3.3800,0.0700,0.5289,-1.1549,981770699124,630773726183,435472731166
ABOFAZ,Pd,+2,d8,"Cl,N",2-1-1,9.0900,3.0200,0.9586,0.4800,712860256778,229344404299,480123634841
ABOFEE,Cu,+2,d9,,,3.2000,0.0200,0.5051,-1.6990,889345664191,297180064890,22275640847
ABOGOR,Cu,+2,d9,,,2.4200,0.5300,0.3838,-0.2757,720021919126,409544596473,678661321795
ABOJIO,Ni,+2,d8,"Br,N,P",3-1,3.1600,0.3500,0.4997,-0.4559,803708282998,270573996758,305994557274
ABOMIP,Cu,+2,d9,,,3.0300,1.9400,0.4814,0.2878,867895996596,768925962045,848253239704
ABOQEO,Ni,+2,d8,,,14.8200,19.9800,1.1708,1.3006,91504250332,687915069031,481818886608
ABOQUE,Pt,+2,d8,"Cl,N",1-1,10.0900,13.5200,1.0039,1.1310,949716070052,254167789314,835453025221
ABOREP,Pt,+2,d8,"Cl,N,O,Te",3-1,8.3000,2.9900,0.9191,0.4757,657726235966,763126278572,305963795894
ABORIV,Pd,+2,d8,"O,P",1-1-1-1,3.2300,0.3900,0.5092,-0.4089,614583806903,372115918247,311631844119
ABOSAP,Ni,+2,d8,,,8.7400,2.6100,0.9415,0.4166,285741069050,64204806360,270996086657
ABOSOZ,Ag,,,N,4,8.5400,2.8800,0.9315,0.4594,35749465983,406246883002,51837477340
ABOSUI,Cu,+2,d9,N,1-1-1-1,2.8900,0.0100,0.4609,-2.0000,652350070574,18215680155,722408817075
ABOTET,Cu,+2,d9,N,1-1-1-1,2.8900,0.0100,0.4609,-2.0000,480681336024,877975656995,525491784271
ABOTOD,Cu,+2,d9,N,1-1-1-1,2.9300,0.0600,0.4669,-1.2218,9233486476,80061845096,967612979705
ABOVEV,Cu,+2,d9,N,1-1-1-1,2.9100,0.0300,0.4639,-1.5229,987901028322,226600188083,957675583247
ABOVIZ,Cu,+2,d9,N,1-1-1-1,2.9100,0.0400,0.4639,-1.3979,75485316554,350560241534,654877108949
ABOWAS,Cu,+2,d9,N,1-1-1-1,2.9000,0.0300,0.4624,-1.5229,495316111209,582839034542,313171566288
ABOXIY,Pt,+2,d8,"C,Cl,N,S",3-1,10.0200,14.0800,1.0009,1.1486,174429514557,126738783552,522031384399
ABUBOS,Cu,+2,d9,N,1-1-1-1,2.8800,0.0000,0.4594,-3.0000,940404981610,457669830854,896220231467
ABUCAC,Pd,+2,d8,"Cl,P",2-1-1,2.9000,0.0100,0.4624,-2.0000,824113969121,824019526278,791047598966
ABUGOU,Ru,+2,d6,"C,P",1-1,1.7600,1.6000,0.2455,0.2041,967552851921,906615111624,28024628570
ABUGUA,Ru,+2,d6,,,4.8900,1.1700,0.6893,0.0682,11323866331,278116044061,339095214115
ABUPIX,Ti,,,,,3.0000,0.0000,0.4771,-3.0000,510807679192,913586534340,263262879414
ABUPUM,Pt,+2,d8,N,2-2,9.7900,7.8400,0.9908,0.8943,376945147706,875913055353,585363343007
ABUPUM01,Pt,+2,d8,N,2-2,12.1300,16.0300,1.0839,1.2049,281117473189,341675402667,585363343007
ABUPUM02,Pt,+2,d8,N,2-2,9.9100,7.8900,0.9961,0.8971,661334890365,478298376446,585363343007
ABUPUM03,Pt,+4,d6,N,2-2,15.7400,14.9100,1.1970,1.1735,123565574829,395055155871,549478841377
ABUTIE,Fe,+2,d6,,,2.3100,0.3100,0.3636,-0.5086,986218068474,824674489445,178158528630
ABUVUP,Ni,+2,d8,"N,O",2-2,2.9500,0.0700,0.4698,-1.1549,815847879044,104929027069,10234864693
ABUWAW,Cu,+2,d9,"N,O",2-2,2.9400,0.0800,0.4683,-1.0969,323114349436,677880750536,382963191377
ABUWEA,Co,+2,d7,,,1.6100,0.5600,0.2068,-0.2518,564676195530,389729394903,66813711649
ABUWEZ,Pd,+2,d8,"Cl,P",1-1-1-1,2.9000,0.0200,0.4624,-1.6990,222101308071,438119019880,762154424485
ABUXIF,Zn,+2,d10,,,4.4600,0.6300,0.6493,-0.2007,562473839855,112446208448,588472780996
ABUYAX,Pd,+2,d8,"Cl,N",2-1-1,9.6600,3.2300,0.9850,0.5092,541008764447,541587997702,509006441332
ABXNIH,Ni,+2,d8,N,4,16.6800,12.2300,1.2222,1.0874,621394631018,665149399574,490779870899
ABZLPT10,Pt,+2,d8,"Cl,N,P",2-1-1,2.9500,0.0900,0.4698,-1.0458,772015408072,165000910071,223283885010
ACABRH02,Rh,+1,d8,"C,O",2-1-1,8.6700,2.9600,0.9380,0.4713,704386667378,746010586372,362326997901
ACABRH03,Rh,+1,d8,"C,O",2-1-1,8.6800,2.9500,0.9385,0.4698,448265532667,281847699074,95092788061
ACACCS01,Cr,,,O,2-2,2.8800,0.0000,0.4594,-3.0000,831893328048,274833676331,28702654242
ACACCU01,Cu,+2,d9,O,2-2,2.9300,0.0400,0.4669,-1.3979,111780842194,805856502073,203517998705
ACACCU02,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU03,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU04,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU05,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU06,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU07,Cu,+2,d9,O,2-2,2.9100,0.0300,0.4639,-1.5229,547901355508,805856502073,203517998705
ACACCU08,Cu,+2,d9,O,2-2,2.9500,0.0600,0.4698,-1.2218,576154087736,805856502073,203517998705
ACACCU09,Cu,+2,d9,O,2-2,2.9500,0.0600,0.4698,-1.2218,576154087736,805856502073,203517998705
ACACCU10,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU11,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU12,Cu,+2,d9,O,2-2,2.9400,0.0600,0.4683,-1.2218,915866953853,805856502073,203517998705
ACACCU13,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU14,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU15,Cu,+2,d9,O,2-2,2.9400,0.0600,0.4683,-1.2218,915866953853,805856502073,203517998705
ACACCU16,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU17,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU18,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU19,Cu,+2,d9,O,2-2,2.9300,0.0500,0.4669,-1.3010,442451616198,805856502073,203517998705
ACACCU20,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU21,Cu,+2,d9,O,2-2,2.9300,0.0400,0.4669,-1.3979,111780842194,805856502073,203517998705
ACACCU22,Cu,+2,d9,O,2-2,2.9200,0.0400,0.4654,-1.3979,313005799580,805856502073,203517998705
ACACCU23,Cu,+2,d9,O,2-2,2.9300,0.0400,0.4669,-1.3979,111780842194,805856502073,203517998705
ACACCU24,Cu,+2,d9,O,2-2,2.9500,0.0600,0.4698,-1.2218,576154087736,805856502073,203517998705
ACACCU25,Cu,+2,d9,O,2-2,2.9500,0.0600,0.4698,-1.2218,576154087736,805856502073,203517998705
ACACCU26,Cu,+2,d9,O,2-2,2.9500,0.0600,0.4698,-1.2218,576154087736,805856502073,203517998705
ACACCU27,Cu,+2,d9,O,2-2,2.9500,0.0600,0.4698,-1.2218,576154087736,805856502073,203517998705
ACACCU28,Cu,+2,d9,O,2-2,2.9500,0.0600,0.4698,-1.2218,576154087736,805856502073,203517998705
ACACCU29,Cu,+2,d9,O,2-2,2.9500,0.0600,0.4698,-1.2218,576154087736,805856502073,203517998705
ACACCU30,Cu,+2,d9,O,2-2,2.9500,0.0600,0.4698,-1.2218,576154087736,805856502073,203517998705
ACACCU31,Cu,+2,d9,O,2-2,2.9600,0.0700,0.4713,-1.1549,178840785793,805856502073,203517998705
ACACCU32,Cu,+2,d9,O,2-2,2.9500,0.0600,0.4698,-1.2218,576154087736,805856502073,203517998705
ACACCU33,Cu,+2,d9,O,2-2,2.9600,0.0700,0.4713,-1.1549,178840785793,805856502073,203517998705
ACACCU34,Cu,+2,d9,O,2-2,2.9500,0.0600,0.4698,-1.2218,576154087736,805856502073,203517998705
ACACCU35,Cu,+2,d9,O,2-2,2.9500,0.0600,0.4698,-1.2218,576154087736,805856502073,203517998705
ACACCU36,Cu,+2,d9,O,2-2,2.9500,0.0600,0.4698,-1.2218,576154087736,805856502073,203517998705
ACACCU37,Cu,+2,d9,O,2-2,2.9500,0.0600,0.4698,-1.2218,576154087736,805856502073,203517998705
ACACCU38,Cu,+2,d9,O,2-2,2.9500,0.0600,0.4698,-1.2218,576154087736,805856502073,203517998705
ACACCU39,Cu,+2,d9,O,2-2,2.9500,0.0600,0.4698,-1.2218,576154087736,805856502073,203517998705
ACACCU40,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU41,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU42,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU43,Cu,+2,d9,O,2-2,2.9500,0.0600,0.4698,-1.2218,576154087736,805856502073,203517998705
ACACCU44,Cu,+2,d9,O,2-2,2.9500,0.0600,0.4698,-1.2218,576154087736,805856502073,203517998705
ACACCU45,Cu,+2,d9,O,2-2,2.9400,0.0600,0.4683,-1.2218,915866953853,805856502073,203517998705
ACACCU46,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU47,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU48,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU49,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU50,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU51,Cu,+2,d9,O,2-2,2.9300,0.0500,0.4669,-1.3010,442451616198,805856502073,203517998705
ACACCU52,Cu,+2,d9,O,2-2,2.9300,0.0500,0.4669,-1.3010,442451616198,805856502073,203517998705
ACACCU53,Cu,+2,d9,O,2-2,2.9300,0.0500,0.4669,-1.3010,442451616198,805856502073,203517998705
ACACCU54,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU55,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU56,Cu,+2,d9,O,2-2,2.9300,0.0500,0.4669,-1.3010,442451616198,805856502073,203517998705
ACACCU57,Cu,+2,d9,O,2-2,2.9300,0.0500,0.4669,-1.3010,442451616198,805856502073,203517998705
ACACCU58,Cu,+2,d9,O,2-2,2.9300,0.0500,0.4669,-1.3010,442451616198,805856502073,203517998705
ACACCU59,Cu,+2,d9,O,2-2,2.9300,0.0500,0.4669,-1.3010,442451616198,805856502073,203517998705
ACACCU60,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU61,Cu,+2,d9,O,2-2,2.9300,0.0400,0.4669,-1.3979,111780842194,805856502073,203517998705
ACACCU62,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU63,Cu,+2,d9,O,2-2,2.9400,0.0500,0.4683,-1.3010,385986878515,805856502073,203517998705
ACACCU64,Cu,+2,d9,O,2-2,3.0000,0.1000,0.4771,-1.0000,597996176167,805856502073,203517998705
ACACCU65,Cu,+2,d9,O,2-2,3.0200,0.1200,0.4800,-0.9208,687643254521,805856502073,203517998705
ACACCU66,Cu,+2,d9,"C,O",3-3,8.3200,9.0900,0.9201,0.9586,297813667168,990640346398,427630665342
ACACCU67,Cu,+2,d9,"C,O",3-3,8.4900,17.0800,0.9289,1.2325,673304148491,567994502503,427630665342
ACACCU71,Cu,+2,d9,"C,O",3-3,8.1500,18.3200,0.9112,1.2629,35708738080,567994502503,427630665342
ACACCU72,Cu,+2,d9,O,2-2,2.9300,0.0500,0.4669,-1.3010,442451616198,805856502073,203517998705
ACACPD01,Pd,+2,d8,O,2-2,3.0000,0.1000,0.4771,-1.0000,137221303443,341305222914,382005137197
ACACPD02,Pd,+2,d8,O,2-2,2.9700,0.0800,0.4728,-1.0969,964561506755,341305222914,382005137197
ACAHUH,Os,,,,,2.6800,0.0200,0.4281,-1.6990,446150749073,373546459431,844605109978
ACAPDA,Pd,+2,d8,"N,O",2-1-1,8.2300,2.8900,0.9154,0.4609,522378943055,24670777905,173015253830
ACAPIH,Cu,+2,d9,,,2.5200,1.3800,0.4014,0.1399,379436100944,87000211176,913854968368
ACAQAW,Zn,+2,d10,,,4.1500,0.9800,0.6180,-0.0088,250199595695,568634654264,5547841384
ACASOO,Ni,+2,d8,N,4,8.6100,2.8800,0.9350,0.4594,532619430433,479995029196,287908061607
ACASUS,Co,+2,d7,,,3.0400,0.1500,0.4829,-0.8239,695417174724,296212553293,594536841639
ACATED,Co,+2,d7,,,2.7300,0.0200,0.4362,-1.6990,405459844185,726319880012,986485106852
ACATOO,Ni,+2,d8,S,2-2,2.9100,0.0300,0.4639,-1.5229,857383954765,566893987029,506937573460
ACATUU,Ni,+2,d8,S,2-2,2.8800,0.0200,0.4594,-1.6990,616117600351,566893987029,506937573460
ACAVAC,Ni,+2,d8,S,2-2,9.0600,2.9100,0.9571,0.4639,820946392326,429734866561,506937573460
ACAWOR,Pd,+2,d8,"Br,C",1-1-1-1,3.2100,0.4200,0.5065,-0.3768,13341824222,186429574927,72023175688
ACAZOU,Pt,+2,d8,"I,N",1-1-1-1,3.4800,0.7600,0.5416,-0.1192,419156076001,800410122427,210327103347
ACEHEY,Zn,+2,d10,,,3.1700,0.0100,0.5011,-2.0000,731970613026,274152751043,314234232719
ACEHOI,Zn,+2,d10,,,5.7700,1.9600,0.7612,0.2923,21263356042,968519186877,285031066398
ACEHOI02,Zn,+2,d10,,,3.7300,1.9700,0.5717,0.2945,101440330551,855860705412,285031066398
ACEJOJ,Pd,+2,d8,"Cl,P",2-1-1,8.3700,2.9200,0.9227,0.4654,809582866255,292823088946,674470042769
ACEJUP,Ni,+2,d8,"Cl,P",2-1-1,8.1200,2.9100,0.9096,0.4639,600567654187,981371472146,445451933135
ACEMEC,Pt,+2,d8,"Cl,N,O",2-1-1,9.1700,3.1500,0.9624,0.4983,715636854323,513642126958,72264949796
ACEQAA,Pt,+2,d8,"Cl,N",2-1-1,8.9800,2.9800,0.9533,0.4742,543222244745,50725823202,970289724034
ACETUX,Zn,+2,d10,,,4.7900,0.7000,0.6803,-0.1549,507399674832,312782599329,448079258011
ACEWIO,Ni,+2,d8,"N,S",2-2,3.0800,0.2300,0.4886,-0.6383,513882124279,997546618724,951354958954
ACEXAH,Co,+2,d7,,,4.0500,0.1300,0.6075,-0.8861,490066649003,888975984715,112661949807
ACGLCU,Cu,+2,d9,"N,O",2-1-1,11.3600,9.9500,1.0554,0.9978,574661925381,644600095296,412421895729
ACIFOJ,Au,,,S,2-2,2.8800,0.0000,0.4594,-3.0000,452094589698,54062024191,144320123436
ACIFUP,Ni,+2,d8,S,2-2,2.8900,0.0100,0.4609,-2.0000,955838101544,90381430182,627271903002
ACIGOJ,Zn,+2,d10,,,2.9800,0.0100,0.4742,-2.0000,671069182229,274152751043,314234232719
ACINEH,Ni,+2,d8,,,4.9800,1.2000,0.6972,0.0792,955457520301,606430576441,943900489930
ACINIL,Cu,+2,d9,,,10.8800,7.9200,1.0366,0.8987,981213335632,933039433676,247260153371
ACINIM,Au,,,"C,Cl,N",2-1-1,7.9500,3.1600,0.9004,0.4997,217904502671,665135273690,14773502695
ACINOR,Co,+2,d7,,,3.2300,0.2100,0.5092,-0.6778,414846899340,766871261992,386227613900
ACITUB,Pd,+2,d8,"Cl,N",1-1-1-1,3.0600,0.2300,0.4857,-0.6383,582292488647,934569157772,632865904638
ACIVAJ,Pd,+2,d8,"N,P",2-1-1,8.6400,2.9300,0.9365,0.4669,655140434957,441704993365,132356166861
ACIVEN,Pd,+2,d8,"N,P",2-1-1,8.9700,2.9200,0.9528,0.4654,246304893955,838720003370,76093058162
ACIVIR,Pd,+2,d8,"N,P",2-1-1,10.9600,3.3900,1.0398,0.5302,50016468218,744709876174,511430414791
ACIVOA,Pd,+2,d8,"C,Cl,N",1-1-1-1,8.3900,3.0500,0.9238,0.4843,77537712751,626021368577,145548827327
ACIVOX,Pd,+2,d8,"O,P",1-1-1-1,8.4700,2.9700,0.9279,0.4728,954108399316,996698374627,588513301364
ACIVUD,Pd,+2,d8,"N,P",1-1-1-1,8.6100,3.0400,0.9350,0.4829,763834195044,824593014619,295593735172
ACIWIV,Pd,+2,d8,"C,Cl,N",1-1-1-1,8.3100,3.0600,0.9196,0.4857,511207381833,576384975759,232396927179
ACIZIW,Zn,+2,d10,,,3.8900,1.0900,0.5899,0.0374,900241610571,852100655782,932496799221
ACOBEA,Pd,+2,d8,,,19.2600,7.9900,1.2847,0.9025,906150823596,491525808467,82337689720
ACOCUQ,Cu,+2,d9,,,2.0300,1.4600,0.3075,0.1644,476637887653,338343259861,420959187033
ACOJUB,Ir,,,"N,P",1-1,6.7900,2.8800,0.8319,0.4594,835354030367,418935337983,860450091126
ACOMIP,Ti,,,,,3.7000,0.7500,0.5682,-0.1249,946532070912,70935324422,190060672568
ACOMUD,Hg,,,,,3.4100,1.0300,0.5328,0.0128,587809394316,693771327611,551745613097
ACONAI,Ti,,,,,3.2400,0.2200,0.5105,-0.6576,172542153906,643154258065,919482998882
ACONEO,Hg,,,,,3.3600,1.1300,0.5263,0.0531,970525388944,842625638969,19571835868
ACORIW,Pd,+2,d8,"N,O",1-1,3.3500,0.5600,0.5250,-0.2518,184044002460,831115736634,757760352180
ACOROC,Pd,+2,d8,"Cl,N",1-1,3.6500,0.9400,0.5623,-0.0269,408843696013,362136904692,808939141839
ACORUI,Pd,+2,d8,"N,O",1-1,8.6000,3.2500,0.9345,0.5119,16236687587,615239449141,349873961450
ACOSAP,Pd,+2,d8,"Cl,N",1-1,9.0900,3.4500,0.9586,0.5378,618842687054,520616812431,705014488310
ACOWIA,Pd,+2,d8,"N,P",1-1-1-1,3.1300,0.3100,0.4955,-0.5086,411747991804,879449176135,692228719543
ACOWUM,Pd,+2,d8,"As,N",1-1-1-1,3.2100,0.4100,0.5065,-0.3872,273899341679,792722422910,612276900420
ACOXEX,Pt,+2,d8,"N,P",1-1-1-1,3.0900,0.2700,0.4900,-0.5686,801253351020,444209724963,316633385200
ACOZOJ,Zn,+2,d10,,,2.9800,0.2300,0.4742,-0.6383,321044492235,752237757711,198024425420
ACPHCU01,Cu,+2,d9,,,12.7500,17.0500,1.1055,1.2317,345443032272,366248174776,926149494263
ACPHCU02,Cu,+2,d9,,,15.8400,17.0400,1.1998,1.2315,577455564295,594009507225,926149494263
ACPYZN,Zn,+2,d10,,,2.2000,0.3000,0.3424,-0.5229,381362128127,918764533053,881140293125
ACRHCO01,Ir,,,"C,O",2-1-1,2.9400,0.0700,0.4683,-1.1549,419501738668,750476312116,880887464112
